# Rt Group Reward Records - Total groups: 3002
# Initial μ: 0.5, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
62,0,0.008,0.5,-1.25806,949,30,56.706,57.655,0.00869193,0.13,0,0.966667
63,0,0.008,0.5,-1.25775,903,30,57.668,58.571,0.00900656,0.13,0,0.966667
64,0,0.008,0.5,-1.25754,908,30,58.583,59.491,0.00922021,0.13,0,0.966667
65,0,0.008,0.5,-1.25747,966,30,59.472,60.438,0.00929312,0.13,0,0.966667
66,0,0.008,0.5,-1.25745,965,30,60.451,61.416,0.009313,0.13,0,0.966667
67,0,0.008,0.5,-1.25712,919,30,61.43,62.349,0.0096444,0.13,0,0.966667
68,0,0.008,0.5,-1.25639,843,30,62.361,63.204,0.0103801,0.13,0,0.966667
69,0,0.008,0.5,-1.25568,816,30,63.212,64.028,0.0111006,0.13,0,0.966667
70,0,0.008,0.5,-1.25478,765,30,64.034,64.799,0.0120023,0.13,0,0.966667
71,0,0.008,0.5,-1.25416,795,30,64.808,65.603,0.0126284,0.13,0,0.966667
72,0,0.008,0.5,-1.25334,817,30,65.612,66.429,0.0134591,0.13,0,0.966667
73,0,0.008,0.5,-1.25247,817,30,66.41,67.227,0.0143351,0.13,0,0.966667
74,0,0.008,0.5,-1.25143,870,30,67.236,68.106,0.01539,0.13,0,0.966667
75,0,0.008,0.5,-1.25017,804,30,68.117,68.921,0.0166607,0.13,0,0.966667
76,0,0.008,0.5,-1.24938,835,30,68.93,69.765,0.0174617,0.13,0,0.966667
77,0,0.008,0.5,-1.24822,816,30,69.773,70.589,0.0186293,0.13,0,0.966667
78,0,0.008,0.5,-1.24716,838,30,70.598,71.436,0.0197071,0.13,0,0.966667
79,0,0.008,0.5,-1.24624,864,30,71.445,72.309,0.0206378,0.13,0,0.966667
80,0,0.008,0.5,-1.24532,869,30,72.321,73.19,0.0215601,0.13,0,0.966667
81,0,0.008,0.5,-1.24458,913,30,73.203,74.116,0.0223083,0.13,0,0.966667
82,0,0.008,0.5,-1.24369,882,30,74.129,75.011,0.0232051,0.13,0,0.966667
83,0,0.008,0.5,-1.24299,923,30,75.023,75.946,0.0239116,0.13,0,0.966667
84,0,0.008,0.5,-1.24218,895,30,75.958,76.853,0.0247309,0.13,0,0.966667
85,0,0.008,0.5,-1.24184,894,30,76.866,77.76,0.025079,0.13,0,0.966667
86,0,0.008,0.5,-1.24005,857,30,77.77,78.627,0.0268834,0.13,0,0.966667
87,0,0.008,0.5,-1.23932,885,30,78.64,79.525,0.0276216,0.13,0,0.966667
88,0,0.008,0.5,-1.23788,909,30,79.536,80.445,0.0290783,0.13,0,0.966667
89,0,0.008,0.5,-1.23736,774,30,80.457,81.231,0.0296002,0.13,0,0.966667
90,0,0.008,0.5,-1.23558,813,30,81.242,82.055,0.0313972,0.13,0,0.966667
91,0,0.008,0.5,-1.23491,470,30,82.05,82.52,0.0320768,0.13,0,0.966667
92,0,0.00748,0.5,-1.23491,481,30,82.516,82.997,0.0320768,0.13,0,0.966667
93,0,0.00748,0.5,-1.23328,473,30,82.993,83.466,0.0337228,0.13,0,0.966667
94,0,0.00748,0.5,-1.23268,466,30,83.462,83.928,0.0343259,0.13,0,0.966667
95,0,0.00748,0.5,-1.23246,478,30,83.925,84.403,0.0345513,0.13,0,0.966667
96,0,0.00752,0.5,-1.2317,485,30,84.399,84.884,0.0353172,0.13,0,0.966667
97,0,0.00748,0.5,-1.23045,471,30,84.879,85.35,0.0365849,0.13,0,0.966667
98,0,0.00748,0.5,-1.22996,473,30,85.345,85.818,0.0370821,0.13,0,0.966667
99,0,0.00748,0.5,-1.22931,481,30,85.813,86.294,0.0377291,0.13,0,0.966667
100,0,0.00744,0.5,-1.22793,472,30,86.29,86.762,0.0391237,0.13,0,0.966667
101,0,0.00748,0.5,-1.22737,488,30,86.742,87.23,0.0396928,0.13,0,0.966667
102,0,0.00748,0.5,-1.22678,482,30,87.226,87.708,0.0402856,0.13,0,0.966667
103,0,0.00748,0.5,-1.22531,468,30,87.703,88.171,0.0417699,0.13,0,0.966667
104,0,0.00744,0.5,-1.22402,457,30,88.167,88.624,0.0430748,0.13,0,0.966667
105,0,0.00744,0.5,-1.22359,474,30,88.619,89.093,0.0435136,0.13,0,0.966667
106,0,0.00748,0.5,-1.22252,480,30,89.09,89.57,0.0445912,0.13,0,0.966667
107,0,0.00748,0.5,-1.22098,469,30,89.566,90.035,0.0461523,0.13,0,0.966667
108,0,0.00744,0.5,-1.22035,457,30,90.031,90.488,0.0467822,0.13,0,0.966667
109,0,0.00748,0.5,-1.2198,485,30,90.484,90.969,0.0473447,0.13,0,0.966667
110,0,0.00748,0.5,-1.21817,459,30,90.965,91.424,0.0489858,0.13,0,0.966667
111,0,0.00744,0.5,-1.21686,468,30,91.419,91.887,0.0503084,0.13,0,0.966667
112,0,0.00744,0.5,-1.2166,466,30,91.883,92.349,0.0505706,0.13,0,0.966667
113,0,0.00748,0.5,-1.21506,477,30,92.347,92.824,0.0521283,0.13,0,0.966667
114,0,0.00744,0.5,-1.2135,454,30,92.819,93.273,0.0537021,0.13,0,0.966667
115,0,0.00744,0.5,-1.21327,480,30,93.269,93.749,0.0539408,0.13,0,0.966667
116,0,0.00752,0.5,-1.21189,480,30,93.747,94.227,0.0553342,0.13,0,0.966667
117,0,0.0074,0.5,-1.2099,446,30,94.223,94.669,0.0573425,0.13,0,0.966667
118,0,0.00736,0.5,-1.20841,446,30,94.666,95.112,0.0588452,0.13,0,0.966667
119,0,0.00712,0.5,-1.20779,391,30,95.107,95.498,0.0594676,0.13,0,0.966667
120,0,0.00684,0.5,-1.20694,330,30,95.488,95.818,0.0603294,0.13,0,0.966667
121,0,0.00648,0.5,-1.20547,324,30,95.81,96.134,0.0618107,0.13,0,0.966667
122,0,0.0062,0.5,-1.204,310,30,96.125,96.435,0.0633032,0.13,0,0.966667
123,0,0.0062,0.5,-1.20313,323,30,96.425,96.748,0.0641821,0.13,0,0.966667
124,0,0.00624,0.5,-1.20304,340,30,96.738,97.078,0.0642654,0.13,0,0.966667
125,0,0.00632,0.5,-1.20212,331,30,97.07,97.401,0.0652005,0.13,0,0.966667
126,0,0.00632,0.5,-1.20048,325,30,97.393,97.718,0.0668602,0.13,0,0.966667
127,0,0.00624,0.5,-1.19888,318,30,97.708,98.026,0.0684743,0.13,0,0.966667
128,0,0.0062,0.5,-1.1974,317,30,98.015,98.332,0.0699651,0.13,0,0.966667
129,0,0.00616,0.5,-1.19639,317,30,98.321,98.638,0.0709891,0.13,0,0.966667
130,0,0.00616,0.5,-1.19592,325,30,98.628,98.953,0.071463,0.13,0,0.966667
131,0,0.0062,0.5,-1.1953,326,30,98.933,99.259,0.0720867,0.13,0,0.966667
132,0,0.0062,0.5,-1.19362,323,30,99.25,99.573,0.0737851,0.13,0,0.966667
133,0,0.00616,0.5,-1.19187,308,30,99.563,99.871,0.0755472,0.13,0,0.966667
134,0,0.00616,0.5,-1.19103,323,30,99.861,100.184,0.0763971,0.13,0,0.966667
135,0,0.00616,0.5,-1.1904,318,30,100.174,100.492,0.0770398,0.13,0,0.966667
136,0,0.00624,0.5,-1.18858,327,30,100.483,100.81,0.078874,0.13,0,0.966667
137,0,0.0062,0.5,-1.18673,310,30,100.8,101.11,0.0807473,0.13,0,0.966667
138,0,0.00616,0.5,-1.18525,311,30,101.101,101.412,0.0822404,0.13,0,0.966667
139,0,0.00616,0.5,-1.18483,326,30,101.404,101.73,0.0826668,0.13,0,0.966667
140,0,0.0062,0.5,-1.183,317,30,101.721,102.038,0.0845081,0.13,0,0.966667
141,0,0.0062,0.5,-1.18099,311,30,102.03,102.341,0.0865373,0.13,0,0.966667
142,0,0.00616,0.5,-1.17958,323,30,102.33,102.653,0.0879704,0.13,0,0.966667
143,0,0.00596,0.5,-1.17945,271,30,102.644,102.915,0.0880962,0.13,0,0.966667
144,0,0.00576,0.5,-1.17926,266,30,102.904,103.17,0.0882909,0.13,0,0.966667
145,0,0.00548,0.5,-1.17785,245,30,103.158,103.403,0.0897096,0.13,0,0.966667
146,0,0.00528,0.5,-1.17619,257,30,103.392,103.649,0.0913937,0.13,0,0.966667
147,0,0.00512,0.5,-1.17454,246,30,103.637,103.883,0.0930616,0.13,0,0.966667
148,0,0.005,0.5,-1.1732,245,30,103.87,104.115,0.094407,0.13,0,0.966667
149,0,0.00496,0.5,-1.17311,247,30,104.104,104.351,0.0945037,0.13,0,0.966667
150,0,0.005,0.5,-1.17311,252,30,104.339,104.591,0.0945037,0.13,0,0.966667
151,0,0.005,0.5,-1.17311,253,30,104.579,104.832,0.0945037,0.13,0,0.966667
152,0,0.00504,0.5,-1.17159,245,30,104.82,105.065,0.0960324,0.13,0,0.966667
153,0,0.005,0.5,-1.16554,244,30,105.053,105.297,0.102147,0.13,0,0.966667
154,0,0.00492,0.5,-1.16554,236,30,105.285,105.521,0.102147,0.13,0,0.966667
155,0,0.00496,0.5,-1.16554,255,30,105.508,105.763,0.102147,0.13,0,0.966667
156,0,0.00492,0.5,-1.16554,245,30,105.753,105.998,0.102147,0.13,0,0.966667
157,0,0.00492,0.5,-1.16129,242,30,105.986,106.228,0.106439,0.13,0,0.966667
158,0,0.005,0.5,-1.15884,247,30,106.216,106.463,0.108912,0.13,0,0.966667
159,0,0.00492,0.5,-1.15745,231,30,106.457,106.688,0.11032,0.13,0,0.966667
160,0,0.00492,0.5,-1.15737,247,30,106.675,106.922,0.110402,0.13,0,0.966667
161,0,0.00488,0.5,-1.15609,239,30,106.91,107.149,0.111689,0.13,0,0.966667
162,0,0.00484,0.5,-1.1535,242,30,107.138,107.38,0.114305,0.13,0,0.966667
163,0,0.0048,0.5,-1.15158,233,30,107.367,107.6,0.116246,0.13,0,0.966667
164,0,0.00484,0.5,-1.15004,244,30,107.587,107.831,0.117808,0.13,0,0.966667
165,0,0.00476,0.5,-1.1499,240,30,107.818,108.058,0.117951,0.13,0,0.966667
166,0,0.00468,0.5,-1.14908,221,30,108.046,108.267,0.118771,0.13,0,0.966667
167,0,0.00452,0.5,-1.14841,206,30,108.253,108.459,0.119453,0.13,0,0.966667
168,0,0.00432,0.5,-1.14673,203,30,108.447,108.65,0.121149,0.13,0,0.966667
169,0,0.00408,0.5,-1.14501,195,30,108.637,108.832,0.122886,0.13,0,0.966667
170,0,0.00392,0.5,-1.14323,205,30,108.819,109.024,0.12468,0.13,0,0.966667
171,0,0.00376,0.5,-1.14138,204,30,109.011,109.215,0.126549,0.13,0,0.966667
172,0,0.00368,0.5,-1.14048,200,30,109.195,109.395,0.12746,0.13,0,0.966667
173,0,0.00368,0.5,-1.14048,203,30,109.383,109.586,0.12746,0.13,0,0.966667
174,0,0.00368,0.5,-1.14048,204,30,109.566,109.77,0.12746,0.13,0,0.966667
175,0,0.00368,0.5,-1.14048,200,30,109.757,109.957,0.12746,0.13,0,0.966667
176,0,0.00372,0.5,-1.14048,214,30,109.943,110.157,0.12746,0.13,0,0.966667
177,0,0.0038,0.5,-1.13828,205,30,110.143,110.348,0.129681,0.13,0,0.966667
178,0,0.00376,0.5,-1.13207,195,30,110.335,110.53,0.135958,0.13,0,0.966667
179,0,0.00372,0.5,-1.13073,189,30,110.516,110.705,0.137306,0.13,0,0.966667
180,0,0.0036,0.5,-1.13071,189,30,110.692,110.881,0.137331,0.13,0,0.966667
181,0,0.0036,0.5,-1.13034,205,30,110.868,111.073,0.137705,0.13,0,0.966667
182,0,0.00356,0.5,-1.1303,206,30,111.06,111.266,0.13774,0.13,0,0.966667
183,0,0.0036,0.5,-1.12602,193,30,111.254,111.447,0.142069,0.13,0,0.966667
184,0,0.00368,0.5,-1.12338,204,30,111.435,111.639,0.144735,0.13,0,0.966667
185,0,0.00368,0.5,-1.12257,191,30,111.626,111.817,0.145553,0.13,0,0.966667
186,0,0.00368,0.5,-1.1223,199,30,111.803,112.002,0.145822,0.13,0,0.966667
187,0,0.00356,0.5,-1.12049,192,30,111.988,112.18,0.14765,0.13,0,0.966667
188,0,0.00356,0.5,-1.11869,195,30,112.173,112.368,0.149472,0.13,0,0.966667
189,0,0.00336,0.5,-1.11641,176,30,112.356,112.532,0.151779,0.13,0,0.966667
190,0,0.00324,0.5,-1.11454,172,30,112.516,112.688,0.153659,0.13,0,0.966667
191,0,0.00304,0.5,-1.11296,166,30,112.672,112.838,0.155263,0.13,0,0.966667
192,0,0.00284,0.5,-1.11245,172,30,112.824,112.996,0.155775,0.13,0,0.966667
193,0,0.00272,0.5,-1.11077,168,30,112.981,113.149,0.157474,0.13,0,0.966667
194,0,0.00252,0.5,-1.10894,173,30,113.134,113.307,0.159322,0.13,0,0.966667
195,0,0.00232,0.5,-1.10699,167,30,113.292,113.459,0.161292,0.13,0,0.966667
196,0,0.00236,0.5,-1.10516,166,30,113.443,113.609,0.163142,0.13,0,0.966667
197,0,0.00236,0.5,-1.10319,173,30,113.595,113.768,0.165127,0.13,0,0.966667
198,0,0.0024,0.5,-1.10131,172,30,113.752,113.924,0.167023,0.13,0,0.966667
199,0,0.00236,0.5,-1.09918,168,30,113.91,114.078,0.169179,0.13,0,0.966667
200,0,0.0024,0.5,-1.09836,173,30,114.063,114.236,0.170002,0.13,0,0.966667
201,0,0.00244,0.5,-1.09702,169,30,114.221,114.39,0.171359,0.13,0,0.966667
202,0,0.0024,0.5,-1.09496,167,30,114.376,114.543,0.173438,0.13,0,0.966667
203,0,0.00244,0.5,-1.09297,172,30,114.529,114.701,0.175449,0.13,0,0.966667
204,0,0.0024,0.5,-1.09082,167,30,114.687,114.854,0.177625,0.13,0,0.966667
205,0,0.00232,0.5,-1.08889,161,30,114.839,115,0.179573,0.13,0,0.966667
206,0,0.00216,0.5,-1.08689,154,30,114.984,115.138,0.181588,0.13,0,0.966667
207,0,0.002,0.5,-1.08497,146,30,115.124,115.27,0.183531,0.13,0,0.966667
208,0,0.002,0.5,-1.08324,151,30,115.253,115.404,0.185282,0.13,0,0.966667
209,0,0.002,0.5,-1.0827,147,30,115.389,115.536,0.185826,0.13,0,0.966667
210,0,0.002,0.5,-1.08136,152,30,115.52,115.672,0.187181,0.13,0,0.966667
211,0,0.002,0.5,-1.07954,147,30,115.657,115.804,0.189014,0.13,0,0.966667
212,0,0.002,0.5,-1.07754,146,30,115.789,115.935,0.191037,0.13,0,0.966667
213,0,0.002,0.5,-1.07554,154,30,115.921,116.075,0.193057,0.13,0,0.966667
214,0,0.002,0.5,-1.07367,145,30,116.061,116.206,0.194948,0.13,0,0.966667
215,0,0.002,0.5,-1.07158,150,30,116.191,116.341,0.19706,0.13,0,0.966667
216,0,0.002,0.5,-1.06959,154,30,116.322,116.476,0.199067,0.13,0,0.966667
217,0,0.002,0.5,-1.06763,145,30,116.461,116.606,0.201043,0.13,0,0.966667
218,0,0.002,0.5,-1.06543,151,30,116.59,116.741,0.203273,0.13,0,0.966667
219,0,0.002,0.5,-1.06338,147,30,116.725,116.872,0.205343,0.13,0,0.966667
220,0,0.002,0.5,-1.06141,151,30,116.856,117.007,0.207328,0.13,0,0.966667
221,0,0.002,0.5,-1.05922,145,30,116.99,117.135,0.209547,0.13,0,0.966667
222,0,0.002,0.5,-1.05724,135,30,117.119,117.254,0.211546,0.13,0,0.966667
223,0,0.002,0.5,-1.0554,128,30,117.238,117.366,0.213399,0.13,0,0.966667
224,0,0.002,0.5,-1.05358,135,30,117.35,117.485,0.215241,0.13,0,0.966667
225,0,0.002,0.5,-1.05171,129,30,117.468,117.597,0.217126,0.13,0,0.966667
226,0,0.002,0.5,-1.04976,131,30,117.581,117.712,0.219102,0.13,0,0.966667
227,0,0.002,0.5,-1.04782,133,30,117.696,117.829,0.22106,0.13,0,0.966667
228,0,0.002,0.5,-1.04576,130,30,117.814,117.944,0.22314,0.13,0,0.966667
229,0,0.002,0.5,-1.04377,142,30,117.927,118.069,0.225153,0.13,0,0.966667
230,0,0.002,0.5,-1.04173,132,30,118.053,118.185,0.227213,0.13,0,0.966667
231,0,0.002,0.5,-1.03976,132,30,118.168,118.3,0.229203,0.13,0,0.966667
232,0,0.002,0.5,-1.03753,135,30,118.287,118.422,0.231448,0.13,0,0.966667
233,0,0.002,0.5,-1.03544,134,30,118.406,118.54,0.233566,0.13,0,0.966667
234,0,0.002,0.5,-1.03338,130,30,118.524,118.654,0.235642,0.13,0,0.966667
235,0,0.002,0.5,-1.03131,133,30,118.639,118.772,0.237737,0.13,0,0.966667
236,0,0.002,0.5,-1.02918,134,30,118.756,118.89,0.239881,0.13,0,0.966667
237,0,0.002,0.5,-1.02717,119,30,118.874,118.993,0.24192,0.13,0,0.966667
238,0,0.002,0.5,-1.02525,121,30,118.976,119.097,0.243851,0.13,0,0.966667
239,0,0.002,0.5,-1.0233,123,30,119.081,119.204,0.24583,0.13,0,0.966667
240,0,0.002,0.5,-1.02132,117,30,119.189,119.306,0.247824,0.13,0,0.966667
241,0,0.002,0.5,-1.01939,117,30,119.289,119.406,0.249771,0.13,0,0.966667
242,0,0.002,0.5,-1.01739,124,30,119.389,119.513,0.251798,0.13,0,0.966667
243,0,0.002,0.5,-1.0154,118,30,119.496,119.614,0.253808,0.13,0,0.966667
244,0,0.002,0.5,-1.01342,120,30,119.598,119.718,0.255802,0.13,0,0.966667
245,0,0.002,0.5,-1.01143,120,30,119.701,119.821,0.257811,0.13,0,0.966667
246,0,0.002,0.5,-1.00936,121,30,119.805,119.926,0.259903,0.13,0,0.966667
247,0,0.002,0.5,-1.00734,117,30,119.909,120.026,0.261944,0.13,0,0.966667
248,0,0.002,0.5,-1.0053,116,30,120.011,120.127,0.264002,0.13,0,0.966667
249,0,0.002,0.5,-1.00322,117,30,120.112,120.229,0.26611,0.13,0,0.966667
250,0,0.002,0.5,-1.00118,120,30,120.212,120.332,0.268166,0.13,0,0.966667
251,0,0.002,0.5,-0.999097,112,30,120.317,120.429,0.270272,0.13,0,0.966667
252,0,0.002,0.5,-0.997134,109,30,120.412,120.521,0.272255,0.13,0,0.966667
253,0,0.002,0.5,-0.995226,111,30,120.504,120.615,0.274183,0.13,0,0.966667
254,0,0.002,0.5,-0.993339,112,30,120.595,120.707,0.276088,0.13,0,0.966667
255,0,0.002,0.5,-0.991333,111,30,120.69,120.801,0.278114,0.13,0,0.966667
256,0,0.002,0.5,-0.989277,108,30,120.785,120.893,0.280191,0.13,0,0.966667
257,0,0.002,0.5,-0.987329,108,30,120.876,120.984,0.282159,0.13,0,0.966667
258,0,0.002,0.5,-0.985263,114,30,120.968,121.082,0.284246,0.13,0,0.966667
259,0,0.002,0.5,-0.983198,115,30,121.067,121.182,0.286332,0.13,0,0.966667
260,0,0.002,0.5,-0.980971,112,30,121.168,121.28,0.288581,0.13,0,0.966667
261,0,0.002,0.5,-0.978838,109,30,121.264,121.373,0.290736,0.13,0,0.966667
262,0,0.002,0.5,-0.976837,113,30,121.355,121.468,0.292757,0.13,0,0.966667
263,0,0.002,0.5,-0.97471,108,30,121.451,121.559,0.294906,0.13,0,0.966667
264,0,0.002,0.5,-0.97253,112,30,121.542,121.654,0.297108,0.13,0,0.966667
265,0,0.002,0.5,-0.970562,107,30,121.638,121.745,0.299096,0.13,0,0.966667
266,0,0.002,0.5,-0.968504,105,30,121.728,121.833,0.301174,0.13,0,0.966667
267,0,0.002,0.5,-0.966317,106,30,121.816,121.922,0.303384,0.13,0,0.966667
268,0,0.002,0.5,-0.964423,102,30,121.905,122.007,0.305296,0.13,0,0.966667
269,0,0.002,0.5,-0.962361,100,30,121.989,122.089,0.307379,0.13,0,0.966667
270,0,0.002,0.5,-0.960442,100,30,122.072,122.172,0.309318,0.13,0,0.966667
271,0,0.002,0.5,-0.95855,101,30,122.155,122.256,0.311228,0.13,0,0.966667
272,0,0.002,0.5,-0.956648,100,30,122.239,122.339,0.31315,0.13,0,0.966667
273,0,0.002,0.5,-0.954654,102,30,122.322,122.424,0.315164,0.13,0,0.966667
274,0,0.002,0.5,-0.952606,99,30,122.407,122.506,0.317233,0.13,0,0.966667
275,0,0.002,0.5,-0.950504,102,30,122.488,122.59,0.319356,0.13,0,0.966667
276,0,0.002,0.5,-0.948429,99,30,122.574,122.673,0.321452,0.13,0,0.966667
277,0,0.002,0.5,-0.946463,99,30,122.657,122.756,0.323438,0.13,0,0.966667
278,0,0.002,0.5,-0.944403,104,30,122.739,122.843,0.325519,0.13,0,0.966667
279,0,0.002,0.5,-0.94233,96,30,122.826,122.922,0.327612,0.13,0,0.966667
280,0,0.002,0.5,-0.940286,99,30,122.906,123.005,0.329678,0.13,0,0.966667
281,0,0.002,0.5,-0.938143,95,30,122.986,123.081,0.331842,0.13,0,0.966667
282,0,0.002,0.5,-0.936198,96,30,123.064,123.16,0.333806,0.13,0,0.966667
