frame_id,frame_type,deadline_time,first_packet_time,last_packet_time,frame_size,total_packets,packets_received,packets_before_deadline,delivery_ratio,missed_deadline,stall_duration_ms
83,0,2.9,75.008,75.893,45000,30,30,0,0,1,72993
84,0,2.93333,75.924,76.791,45000,30,30,0,0,1,73857
85,0,2.96667,76.824,77.704,45000,30,30,0,0,1,74737
86,0,3,77.735,78.804,45000,30,30,0,0,1,75803
87,0,3.03333,78.854,80.386,45000,30,30,0,0,1,77352
88,0,3.06667,80.457,82.622,45000,30,30,0,0,1,79555
89,0,3.1,82.693,84.224,45000,30,30,0,0,1,81124
90,1,3.13333,84.274,85.455,45000,30,30,0,0,1,82321
91,0,3.16667,85.488,86.373,45000,30,30,0,0,1,83206
92,0,3.2,86.405,87.342,45000,30,30,0,0,1,84142
93,0,3.23333,87.377,88.319,45000,30,30,0,0,1,85085
94,0,3.26667,88.354,89.245,45000,30,30,0,0,1,85978
95,0,3.3,89.279,90.209,45000,30,30,0,0,1,86908
96,0,3.33333,90.246,91.218,45000,30,30,0,0,1,87884
97,0,3.36667,91.253,92.195,45000,30,30,0,0,1,88828
98,0,3.4,92.229,93.172,45000,30,30,0,0,1,89772
99,0,3.43333,93.206,94.147,45000,30,30,0,0,1,90713
100,0,3.46667,94.182,95.128,45000,30,30,0,0,1,91661
101,0,3.5,95.162,96.134,45000,30,30,0,0,1,92633
102,0,3.53333,96.169,97.121,45000,30,30,0,0,1,93587
103,0,3.56667,97.155,98.087,45000,30,30,0,0,1,94520
104,0,3.6,98.122,99.095,45000,30,30,0,0,1,95495
105,0,3.63333,99.097,100.107,45000,30,30,0,0,1,96473
106,0,3.66667,100.142,101.062,45000,30,30,0,0,1,97395
107,0,3.7,101.096,102.031,45000,30,30,0,0,1,98331
108,0,3.73333,102.065,103.007,45000,30,30,0,0,1,99273
109,0,3.76667,103.042,103.952,45000,30,30,0,0,1,100185
110,0,3.8,103.986,104.927,45000,30,30,0,0,1,101126
111,0,3.83333,104.961,105.915,45000,30,30,0,0,1,102081
112,0,3.86667,105.916,106.882,45000,30,30,0,0,1,103015
113,0,3.9,106.917,107.859,45000,30,30,0,0,1,103959
114,0,3.93333,107.893,108.835,45000,30,30,0,0,1,104901
115,0,3.96667,108.853,109.813,45000,30,30,0,0,1,105846
116,0,4,109.848,110.79,45000,30,30,0,0,1,106789
117,0,4.03333,110.825,111.766,45000,30,30,0,0,1,107732
118,0,4.06667,111.801,112.743,45000,30,30,0,0,1,108676
119,0,4.1,112.777,113.75,45000,30,30,0,0,1,109650
120,1,4.13333,113.752,114.727,45000,30,30,0,0,1,110593
121,0,4.16667,114.762,115.68,45000,30,30,0,0,1,111513
122,0,4.2,115.714,116.651,45000,30,30,0,0,1,112451
123,0,4.23333,116.685,117.627,45000,30,30,0,0,1,113393
124,0,4.26667,117.661,118.606,45000,30,30,0,0,1,114339
125,0,4.3,118.64,119.615,45000,30,30,0,0,1,115315
126,0,4.33333,119.65,120.592,45000,30,30,0,0,1,116258
127,0,4.36667,120.626,121.6,45000,30,30,0,0,1,117233
128,0,4.4,121.602,122.612,45000,30,30,0,0,1,118211
129,0,4.43333,122.647,123.587,45000,30,30,0,0,1,119153
130,0,4.46667,123.621,124.513,45000,30,30,0,0,1,120046
131,0,4.5,124.547,125.478,45000,30,30,0,0,1,120977
132,0,4.53333,125.513,126.434,45000,30,30,0,0,1,121900
133,0,4.56667,126.467,127.403,45000,30,30,0,0,1,122836
134,0,4.6,127.49,128.379,45000,30,30,0,0,1,123779
135,0,4.63333,128.413,129.336,45000,30,30,0,0,1,124702
136,0,4.66667,129.369,130.302,45000,30,30,0,0,1,125635
137,0,4.7,130.336,131.279,45000,30,30,0,0,1,126579
138,0,4.73333,131.314,132.254,45000,30,30,0,0,1,127520
139,0,4.76667,132.289,133.231,45000,30,30,0,0,1,128464
140,0,4.8,133.265,134.209,45000,30,30,0,0,1,129409
141,0,4.83333,134.244,135.216,45000,30,30,0,0,1,130382
142,0,4.86667,135.217,136.192,45000,30,30,0,0,1,131325
143,0,4.9,136.227,137.168,45000,30,30,0,0,1,132267
144,0,4.93333,137.202,138.179,45000,30,30,0,0,1,133245
145,0,4.96667,138.213,139.155,45000,30,30,0,0,1,134188
146,0,5,139.189,140.169,45000,30,30,0,0,1,135168
147,0,5.03333,140.203,141.179,45000,30,30,0,0,1,136145
148,0,5.06667,141.213,142.156,45000,30,30,0,0,1,137089
149,0,5.1,142.191,143.131,45000,30,30,0,0,1,138031
150,1,5.13333,143.166,144.144,45000,30,30,0,0,1,139010
151,0,5.16667,144.179,145.128,45000,30,30,0,0,1,139961
152,0,5.2,145.162,146.098,45000,30,30,0,0,1,140898
153,0,5.23333,146.132,147.097,45000,30,30,0,0,1,141863
154,0,5.26667,147.131,148.056,45000,30,30,0,0,1,142789
155,0,5.3,148.091,149.046,45000,30,30,0,0,1,143746
156,0,5.33333,149.079,150.015,45000,30,30,0,0,1,144681
157,0,5.36667,150.049,150.96,45000,30,30,0,0,1,145593
158,0,5.4,150.995,151.978,45000,30,30,0,0,1,146577
159,0,5.43333,152.046,153.02,45000,30,30,0,0,1,147586
160,0,5.46667,153.022,153.995,45000,30,30,0,0,1,148528
161,0,5.5,154.029,154.943,45000,30,30,0,0,1,149442
162,0,5.53333,154.961,155.863,45000,30,30,0,0,1,150329
163,0,5.56667,155.897,156.806,45000,30,30,0,0,1,151239
164,0,5.6,156.84,157.813,45000,30,30,0,0,1,152213
165,0,5.63333,157.848,158.82,45000,30,30,0,0,1,153186
166,0,5.66667,158.821,159.797,45000,30,30,0,0,1,154130
167,0,5.7,159.829,160.752,45000,30,30,0,0,1,155052
168,0,5.73333,160.786,161.728,45000,30,30,0,0,1,155994
169,0,5.76667,161.763,162.672,45000,30,30,0,0,1,156905
170,0,5.8,162.706,163.682,45000,30,30,0,0,1,157882
171,0,5.83333,163.717,164.694,45000,30,30,0,0,1,158860
172,0,5.86667,164.728,165.647,45000,30,30,0,0,1,159780
173,0,5.9,165.68,166.617,45000,30,30,0,0,1,160716
174,0,5.93333,166.652,167.621,45000,30,30,0,0,1,161687
175,0,5.96667,167.655,168.535,45000,30,30,0,0,1,162568
176,0,6,168.569,169.519,45000,30,30,0,0,1,163518
177,0,6.03333,169.553,170.53,45000,30,30,0,0,1,164496
178,0,6.06667,170.564,171.506,45000,30,30,0,0,1,165439
179,0,6.1,171.543,172.451,45000,30,30,0,0,1,166351
180,1,6.13333,172.484,173.399,45000,30,30,0,0,1,167265
181,0,6.16667,173.436,174.41,45000,30,30,0,0,1,168243
182,0,6.2,174.444,175.387,45000,30,30,0,0,1,169187
183,0,6.23333,175.422,176.363,45000,30,30,0,0,1,170129
184,0,6.26667,176.398,177.375,45000,30,30,0,0,1,171108
185,0,6.3,177.409,178.329,45000,30,30,0,0,1,172029
186,0,6.33333,178.362,179.27,45000,30,30,0,0,1,172936
187,0,6.36667,179.305,180.243,45000,30,30,0,0,1,173876
188,0,6.4,180.312,181.253,45000,30,30,0,0,1,174852
189,0,6.43333,181.255,182.229,45000,30,30,0,0,1,175795
190,0,6.46667,182.263,183.205,45000,30,30,0,0,1,176738
191,0,6.5,183.24,184.175,45000,30,30,0,0,1,177674
192,0,6.53333,184.209,185.133,45000,30,30,0,0,1,178599
193,0,6.56667,185.167,186.095,45000,30,30,0,0,1,179528
194,0,6.6,186.129,187.103,45000,30,30,0,0,1,180503
195,0,6.63333,187.123,188.03,45000,30,30,0,0,1,181396
196,0,6.66667,188.065,189.007,45000,30,30,0,0,1,182340
197,0,6.7,189.04,189.966,45000,30,30,0,0,1,183266
198,0,6.73333,190,190.965,45000,30,30,0,0,1,184231
199,0,6.76667,191,191.945,45000,30,30,0,0,1,185178
200,0,6.8,191.979,192.92,45000,30,30,0,0,1,186120
201,0,6.83333,192.955,193.897,45000,30,30,0,0,1,187063
202,0,6.86667,193.932,194.872,45000,30,30,0,0,1,188005
203,0,6.9,194.909,195.88,45000,30,30,0,0,1,188979
204,0,6.93333,195.915,196.856,45000,30,30,0,0,1,189922
205,0,6.96667,196.891,197.835,45000,30,30,0,0,1,190868
206,0,7,197.87,198.844,45000,30,30,0,0,1,191843
207,0,7.03333,198.879,199.821,45000,30,30,0,0,1,192787
208,0,7.06667,199.856,200.788,45000,30,30,0,0,1,193721
209,0,7.1,200.821,201.744,45000,30,30,0,0,1,194644
210,1,7.13333,201.778,202.72,45000,30,30,0,0,1,195586
211,0,7.16667,202.757,203.811,45000,30,30,0,0,1,196644
212,0,7.2,203.829,204.671,45000,30,30,0,0,1,197471
213,0,7.23333,204.706,205.683,45000,30,30,0,0,1,198449
214,0,7.26667,205.718,206.661,45000,30,30,0,0,1,199394
215,0,7.3,206.696,207.603,45000,30,30,0,0,1,200303
216,0,7.33333,207.638,208.615,45000,30,30,0,0,1,201281
217,0,7.36667,208.649,209.565,45000,30,30,0,0,1,202198
218,0,7.4,209.599,210.573,45000,30,30,0,0,1,203172
219,0,7.43333,210.574,211.547,45000,30,30,0,0,1,204113
220,0,7.46667,211.582,212.525,45000,30,30,0,0,1,205058
221,0,7.5,212.56,213.502,45000,30,30,0,0,1,206001
222,0,7.53333,213.59,214.447,45000,30,30,0,0,1,206913
223,0,7.56667,214.481,215.419,45000,30,30,0,0,1,207852
224,0,7.6,215.452,216.368,45000,30,30,0,0,1,208768
