# RL State Records - Total packets: 9600
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1, Hybrid weight: 0.3
frame_id,packet_index,mu_used,Rt,loss_rate,reward,send_time,recivied_time,deadline,bandwidth_utilization,p_delay,p_loss,p_mddl,current_delay
2,8,1,0,0,-1.81803,1.164,1.184,0.2,0.234311,0.13,0,1,20
2,9,1,0,0,-1.81803,1.18,1.2,0.2,0.234311,0.13,0,1,20
2,10,1,0,0,-1.81714,1.198,1.218,0.2,0.235215,0.13,0,1,20
2,11,1,0,0,-1.81714,1.213,1.233,0.2,0.235215,0.13,0,1,20
2,12,1,0,0,-1.81624,1.23,1.25,0.2,0.236122,0.13,0,1,20
2,13,1,0,0,-1.81624,1.23,1.25,0.2,0.236122,0.13,0,1,20
2,14,1,0,0,-1.64455,1.248,1.268,0.2,0.409544,0.13,0,1,20
2,15,1,0,0,-1.64455,1.265,1.285,0.2,0.409544,0.13,0,1,20
2,16,1,0,0,-1.64455,1.281,1.301,0.2,0.409544,0.13,0,1,20
2,17,1,0,0,-1.64299,1.299,1.319,0.2,0.411122,0.13,0,1,20
2,18,1,0,0,-1.64299,1.315,1.335,0.2,0.411122,0.13,0,1,20
2,19,1,0,0,-1.64142,1.331,1.351,0.2,0.412708,0.13,0,1,20
2,20,1,0,0,-1.64142,1.348,1.368,0.2,0.412708,0.13,0,1,20
2,21,1,0,0,-1.64142,1.366,1.386,0.2,0.412708,0.13,0,1,20
2,22,1,0,0,-1.64142,1.382,1.402,0.2,0.412708,0.13,0,1,20
2,23,1,0,0,-1.63984,1.4,1.42,0.2,0.414298,0.13,0,1,20
2,24,1,0,0,-1.63984,1.415,1.435,0.2,0.414298,0.13,0,1,20
2,25,1,0,0,-1.63826,1.432,1.452,0.2,0.415896,0.13,0,1,20
2,26,1,0,0,-1.63826,1.449,1.469,0.2,0.415896,0.13,0,1,20
2,27,1,0,0,-1.63826,1.466,1.486,0.2,0.415896,0.13,0,1,20
2,28,1,0,0,-1.63668,1.483,1.503,0.2,0.417499,0.13,0,1,20
2,29,1,0,0,-1.63668,1.501,1.521,0.2,0.417499,0.13,0,1,20
3,0,1,0,0,-0.635082,1.52,1.54,0.233333,0.419109,0.13,0,0,20
