# FrameAwareWebrtcTrace Bandwidth Statistics
# Bandwidth scale factor (μ): 1
# Loss rate (L): 0.01
# Total bandwidth changes: 9282
# Total packet arrivals: 9600
# Sent records created: 42517888
timestamp_ms,trace_bandwidth_bps,trace_bandwidth_mbps,trace_rtt_ms,trace_loss,original_bandwidth_bps,original_bandwidth_mbps,scaled_bandwidth_bps,scaled_bandwidth_mbps,scale_factor
2203,1.04594e+06,1.04594,32,0.02,402427,0.402427,402427,0.402427,1
2238,1.04594e+06,1.04594,32,0.02,402050,0.40205,402050,0.40205,1
2268,969484,0.969484,30,0.021,402050,0.40205,402050,0.40205,1
2303,969484,0.969484,30,0.021,402050,0.40205,402050,0.40205,1
2338,969484,0.969484,30,0.021,402050,0.40205,402050,0.40205,1
2368,969484,0.969484,30,0.021,402050,0.40205,402050,0.40205,1
2403,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2438,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2468,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2503,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2538,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2568,969484,0.969484,30,0.021,392284,0.392284,392284,0.392284,1
2603,969484,0.969484,30,0.021,393024,0.393024,393024,0.393024,1
2638,969484,0.969484,30,0.021,393758,0.393758,393758,0.393758,1
2668,969484,0.969484,30,0.021,393758,0.393758,393758,0.393758,1
2703,969484,0.969484,30,0.021,394487,0.394487,394487,0.394487,1
2738,969484,0.969484,30,0.021,395211,0.395211,395211,0.395211,1
2768,702307,0.702307,28,0.017,395211,0.395211,395211,0.395211,1
2803,702307,0.702307,28,0.017,395930,0.39593,395930,0.39593,1
2838,702307,0.702307,28,0.017,396647,0.396647,396647,0.396647,1
2868,702307,0.702307,28,0.017,396647,0.396647,396647,0.396647,1
2903,702307,0.702307,28,0.017,397359,0.397359,397359,0.397359,1
2938,702307,0.702307,28,0.017,398069,0.398069,398069,0.398069,1
2968,702307,0.702307,28,0.017,398069,0.398069,398069,0.398069,1
3003,702307,0.702307,28,0.017,398775,0.398775,398775,0.398775,1
3038,702307,0.702307,28,0.017,399476,0.399476,399476,0.399476,1
3068,702307,0.702307,28,0.017,399476,0.399476,399476,0.399476,1
3103,702307,0.702307,28,0.017,400175,0.400175,400175,0.400175,1
3138,702307,0.702307,28,0.017,400869,0.400869,400869,0.400869,1
3168,702307,0.702307,28,0.017,400869,0.400869,400869,0.400869,1
3203,702307,0.702307,28,0.017,401559,0.401559,401559,0.401559,1
3238,702307,0.702307,28,0.017,402247,0.402247,402247,0.402247,1
3268,1.19942e+06,1.19942,30,0.003,402247,0.402247,402247,0.402247,1
3303,1.19942e+06,1.19942,30,0.003,402931,0.402931,402931,0.402931,1
3338,1.19942e+06,1.19942,30,0.003,403600,0.4036,403600,0.4036,1
3368,1.19942e+06,1.19942,30,0.003,403600,0.4036,403600,0.4036,1
3403,1.19942e+06,1.19942,30,0.003,404291,0.404291,404291,0.404291,1
3438,1.19942e+06,1.19942,30,0.003,404965,0.404965,404965,0.404965,1
3468,1.19942e+06,1.19942,30,0.003,404965,0.404965,404965,0.404965,1
3503,1.19942e+06,1.19942,30,0.003,405634,0.405634,405634,0.405634,1
3538,1.19942e+06,1.19942,30,0.003,406299,0.406299,406299,0.406299,1
3568,1.19942e+06,1.19942,30,0.003,406299,0.406299,406299,0.406299,1
3603,1.19942e+06,1.19942,30,0.003,406960,0.40696,406960,0.40696,1
3638,1.19942e+06,1.19942,30,0.003,407619,0.407619,407619,0.407619,1
3668,1.19942e+06,1.19942,30,0.003,407619,0.407619,407619,0.407619,1
3703,1.19942e+06,1.19942,30,0.003,408277,0.408277,408277,0.408277,1
3738,1.19942e+06,1.19942,30,0.003,408934,0.408934,408934,0.408934,1
3768,1.04835e+06,1.04835,34,0.037,408934,0.408934,408934,0.408934,1
3803,1.04835e+06,1.04835,34,0.037,409589,0.409589,409589,0.409589,1
3838,1.04835e+06,1.04835,34,0.037,410243,0.410243,410243,0.410243,1
3868,1.04835e+06,1.04835,34,0.037,410243,0.410243,410243,0.410243,1
3903,1.04835e+06,1.04835,34,0.037,410895,0.410895,410895,0.410895,1
3938,1.04835e+06,1.04835,34,0.037,411545,0.411545,411545,0.411545,1
3968,1.04835e+06,1.04835,34,0.037,411545,0.411545,411545,0.411545,1
4003,1.04835e+06,1.04835,34,0.037,412195,0.412195,412195,0.412195,1
4038,1.04835e+06,1.04835,34,0.037,412843,0.412843,412843,0.412843,1
4068,1.04835e+06,1.04835,34,0.037,412843,0.412843,412843,0.412843,1
4103,1.04835e+06,1.04835,34,0.037,413492,0.413492,413492,0.413492,1
4138,1.04835e+06,1.04835,34,0.037,414140,0.41414,414140,0.41414,1
4168,1.04835e+06,1.04835,34,0.037,414140,0.41414,414140,0.41414,1
4203,1.04835e+06,1.04835,34,0.037,414788,0.414788,414788,0.414788,1
4238,1.04835e+06,1.04835,34,0.037,415435,0.415435,415435,0.415435,1
4268,777646,0.777646,32,0.02,415435,0.415435,415435,0.415435,1
4303,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4338,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4368,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4403,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4438,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4468,777646,0.777646,32,0.02,416081,0.416081,416081,0.416081,1
4503,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4538,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4568,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4603,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4638,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4668,777646,0.777646,32,0.02,339561,0.339561,339561,0.339561,1
4703,777646,0.777646,32,0.02,312412,0.312412,312412,0.312412,1
4738,777646,0.777646,32,0.02,312412,0.312412,312412,0.312412,1
4768,1.01226e+06,1.01226,30,0.033,312412,0.312412,312412,0.312412,1
4803,1.01226e+06,1.01226,30,0.033,312412,0.312412,312412,0.312412,1
4838,1.01226e+06,1.01226,30,0.033,312412,0.312412,312412,0.312412,1
4868,1.01226e+06,1.01226,30,0.033,312412,0.312412,312412,0.312412,1
4903,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
4938,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
4968,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
5003,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
5038,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
5068,1.01226e+06,1.01226,30,0.033,274002,0.274002,274002,0.274002,1
5103,1.01226e+06,1.01226,30,0.033,273700,0.2737,273700,0.2737,1
5138,1.01226e+06,1.01226,30,0.033,273700,0.2737,273700,0.2737,1
5168,1.01226e+06,1.01226,30,0.033,273700,0.2737,273700,0.2737,1
5203,1.01226e+06,1.01226,30,0.033,273700,0.2737,273700,0.2737,1
5238,1.01226e+06,1.01226,30,0.033,273700,0.2737,273700,0.2737,1
5268,1.06935e+06,1.06935,33,0.028,273700,0.2737,273700,0.2737,1
5303,1.06935e+06,1.06935,33,0.028,274426,0.274426,274426,0.274426,1
5338,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5368,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5403,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5438,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5468,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5503,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5538,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5568,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5603,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5638,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5668,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5703,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5738,1.06935e+06,1.06935,33,0.028,275144,0.275144,275144,0.275144,1
5768,1.25498e+06,1.25498,30,0.021,275144,0.275144,275144,0.275144,1
5803,1.25498e+06,1.25498,30,0.021,275144,0.275144,275144,0.275144,1
5838,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
5868,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
5903,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
5938,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
5968,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
6003,1.25498e+06,1.25498,30,0.021,242802,0.242802,242802,0.242802,1
6038,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6068,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
6103,1.25498e+06,1.25498,30,0.021,217240,0.21724,217240,0.21724,1
